Fiscal Year,Plan Name,State,Employee Contribution Rate,Employer Contribution Rate,Normal Cost Rate,Amortization Rate,Total Contribution Rate
2018,"Minnesota Public Employees Retirement Association (MPERA) Local Government Correctional Employees Plan","Minnesota",5.83%,8.71%,22.13%,−7.58%,14.54%
2019,"Minnesota Public Employees Retirement Association (MPERA) Local Government Correctional Employees Plan","Minnesota",5.83%,8.72%,14.18%,0.37%,14.55%
2020,"Minnesota Public Employees Retirement Association (MPERA) Local Government Correctional Employees Plan","Minnesota",5.83%,8.75%,15.24%,−0.66%,14.58%
2021,"Minnesota Public Employees Retirement Association (MPERA) Local Government Correctional Employees Plan","Minnesota",5.83%,8.71%,14.55%,0.00%,14.54%
2022,"Minnesota Public Employees Retirement Association (MPERA) Local Government Correctional Employees Plan","Minnesota",5.83%,8.73%,16.74%,−2.18%,14.56%
2023,"Minnesota Public Employees Retirement Association (MPERA) Local Government Correctional Employees Plan","Minnesota",5.83%,8.61%,19.28%,−4.84%,14.44%
2014,"Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota",9.90%,17.27%,20.62%,6.55%,27.17%
2015,"Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota",10.50%,18.14%,22.24%,6.40%,28.64%
2016,"Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota",10.80%,18.73%,22.05%,7.48%,29.53%
2017,"Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota",10.80%,18.57%,33.72%,−4.35%,29.37%
2018,"Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota",10.80%,18.41%,20.80%,8.41%,29.21%
2019,"Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota",11.05%,18.62%,20.67%,9.00%,29.67%
2020,"Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota",11.55%,19.39%,20.30%,10.63%,30.94%
2021,"Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota",11.80%,19.99%,20.62%,11.17%,31.79%
2022,"Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota",11.80%,19.91%,25.07%,6.63%,31.71%
2023,"Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota",11.80%,19.71%,31.49%,0.02%,31.51%
2014,"Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan","Minnesota",8.60%,12.07%,24.83%,−4.16%,20.67%
2015,"Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan","Minnesota",9.10%,12.74%,21.09%,0.75%,21.84%
2016,"Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan","Minnesota",9.10%,12.72%,23.51%,−1.69%,21.82%
2017,"Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan","Minnesota",9.10%,12.76%,38.38%,−16.52%,21.86%
2018,"Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan","Minnesota",9.10%,12.78%,33.17%,−11.29%,21.88%
2019,"Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan","Minnesota",9.60%,14.29%,16.79%,7.11%,23.89%
2020,"Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan","Minnesota",9.60%,15.68%,16.61%,8.67%,25.28%
2021,"Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan","Minnesota",9.60%,17.27%,16.76%,10.11%,26.87%
2022,"Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan","Minnesota",9.60%,18.71%,19.35%,8.96%,28.31%
2023,"Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan","Minnesota",9.60%,18.83%,17.87%,10.55%,28.43%
2014,"Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota",5.00%,4.89%,9.77%,0.11%,9.89%
2015,"Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota",5.50%,5.39%,7.76%,3.13%,10.89%
2016,"Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota",5.50%,5.40%,7.56%,3.34%,10.90%
2017,"Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota",5.50%,5.39%,21.08%,−10.19%,10.89%
2018,"Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota",5.50%,5.42%,15.03%,−4.12%,10.92%
2019,"Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota",5.75%,5.77%,8.05%,3.47%,11.52%
2020,"Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota",6.00%,6.19%,8.12%,4.07%,12.19%
2021,"Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota",6.00%,6.21%,8.15%,4.06%,12.21%
2022,"Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota",6.00%,6.20%,9.91%,2.29%,12.20%
2023,"Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota",6.00%,6.23%,9.08%,3.14%,12.23%
2014,"Minnesota State Retirement System (MSRS) Judges Retirement Plan","Minnesota",8.54%,22.50%,28.82%,2.22%,31.04%
2015,"Minnesota State Retirement System (MSRS) Judges Retirement Plan","Minnesota",8.35%,22.50%,28.20%,2.66%,30.85%
2016,"Minnesota State Retirement System (MSRS) Judges Retirement Plan","Minnesota",8.29%,22.50%,30.19%,0.60%,30.79%
2017,"Minnesota State Retirement System (MSRS) Judges Retirement Plan","Minnesota",8.22%,28.77%,19.83%,17.16%,37.00%
2018,"Minnesota State Retirement System (MSRS) Judges Retirement Plan","Minnesota",8.11%,34.74%,20.11%,22.74%,42.85%
2019,"Minnesota State Retirement System (MSRS) Judges Retirement Plan","Minnesota",8.07%,34.46%,19.70%,22.84%,42.53%
2020,"Minnesota State Retirement System (MSRS) Judges Retirement Plan","Minnesota",7.97%,33.97%,18.92%,23.02%,41.94%
2021,"Minnesota State Retirement System (MSRS) Judges Retirement Plan","Minnesota",7.87%,33.83%,19.27%,22.43%,41.70%
2022,"Minnesota State Retirement System (MSRS) Judges Retirement Plan","Minnesota",7.74%,33.52%,21.51%,19.76%,41.26%
2023,"Minnesota State Retirement System (MSRS) Judges Retirement Plan","Minnesota",7.57%,33.53%,20.33%,20.77%,41.10%
2014,"Minnesota State Retirement System (MSRS) State Patrol Retirement Plan","Minnesota",12.40%,20.16%,22.70%,9.87%,32.56%
2015,"Minnesota State Retirement System (MSRS) State Patrol Retirement Plan","Minnesota",13.40%,21.56%,23.58%,11.38%,34.96%
2016,"Minnesota State Retirement System (MSRS) State Patrol Retirement Plan","Minnesota",13.40%,21.54%,23.87%,11.07%,34.94%
2017,"Minnesota State Retirement System (MSRS) State Patrol Retirement Plan","Minnesota",14.40%,22.97%,40.73%,−3.36%,37.37%
2018,"Minnesota State Retirement System (MSRS) State Patrol Retirement Plan","Minnesota",14.40%,22.91%,33.69%,3.61%,37.31%
2019,"Minnesota State Retirement System (MSRS) State Patrol Retirement Plan","Minnesota",14.90%,25.35%,23.98%,16.27%,40.25%
2020,"Minnesota State Retirement System (MSRS) State Patrol Retirement Plan","Minnesota",14.90%,27.18%,24.99%,17.09%,42.08%
2021,"Minnesota State Retirement System (MSRS) State Patrol Retirement Plan","Minnesota",15.40%,29.21%,24.67%,19.94%,44.61%
2022,"Minnesota State Retirement System (MSRS) State Patrol Retirement Plan","Minnesota",15.40%,31.01%,24.85%,21.56%,46.41%
2023,"Minnesota State Retirement System (MSRS) State Patrol Retirement Plan","Minnesota",15.40%,30.49%,28.07%,17.82%,45.89%
2014,"Minnesota Teachers Retirement Association","Minnesota",7.26%,7.90%,9.06%,6.10%,15.16%
2015,"Minnesota Teachers Retirement Association","Minnesota",7.78%,8.87%,9.27%,7.37%,16.64%
2016,"Minnesota Teachers Retirement Association","Minnesota",7.69%,8.65%,9.72%,6.62%,16.34%
2017,"Minnesota Teachers Retirement Association","Minnesota",7.70%,8.60%,27.03%,−10.72%,16.31%
2018,"Minnesota Teachers Retirement Association","Minnesota",7.75%,8.57%,21.86%,−5.54%,16.32%
2019,"Minnesota Teachers Retirement Association","Minnesota",7.73%,8.78%,9.53%,6.98%,16.51%
2020,"Minnesota Teachers Retirement Association","Minnesota",7.68%,8.92%,9.48%,7.12%,16.60%
2021,"Minnesota Teachers Retirement Association","Minnesota",7.70%,9.14%,9.63%,7.20%,16.84%
2022,"Minnesota Teachers Retirement Association","Minnesota",7.70%,9.30%,10.70%,6.30%,17.00%
2023,"Minnesota Teachers Retirement Association","Minnesota",7.71%,9.49%,10.94%,6.27%,17.21%
2014,"Missouri County Employees Retirement Fund","Missouri",3.20%,5.33%,3.66%,4.87%,8.53%
2015,"Missouri County Employees Retirement Fund","Missouri",3.52%,5.37%,4.58%,4.31%,8.89%
2016,"Missouri County Employees Retirement Fund","Missouri",3.52%,5.19%,4.60%,4.12%,8.71%
2017,"Missouri County Employees Retirement Fund","Missouri",3.59%,5.24%,4.76%,4.07%,8.83%
2018,"Missouri County Employees Retirement Fund","Missouri",3.79%,6.88%,4.81%,5.86%,10.67%
2019,"Missouri County Employees Retirement Fund","Missouri",3.76%,7.18%,4.80%,6.14%,10.94%
2020,"Missouri County Employees Retirement Fund","Missouri",3.89%,7.24%,5.38%,5.75%,11.12%
2021,"Missouri County Employees Retirement Fund","Missouri",4.01%,7.54%,5.41%,6.14%,11.55%
2022,"Missouri County Employees Retirement Fund","Missouri",4.21%,7.14%,5.39%,5.97%,11.36%
2023,"Missouri County Employees Retirement Fund","Missouri",4.27%,7.40%,5.30%,6.37%,11.67%
2014,"Missouri MoDOT & Patrol Employees’ Retirement System","Missouri",0.67%,54.47%,13.29%,41.85%,55.15%
2015,"Missouri MoDOT & Patrol Employees’ Retirement System","Missouri",0.96%,58.62%,13.25%,46.33%,59.58%
2016,"Missouri MoDOT & Patrol Employees’ Retirement System","Missouri",1.01%,57.92%,13.19%,45.74%,58.93%
2017,"Missouri MoDOT & Patrol Employees’ Retirement System","Missouri",1.37%,57.94%,12.82%,46.49%,59.31%
2018,"Missouri MoDOT & Patrol Employees’ Retirement System","Missouri",1.41%,57.94%,13.18%,46.17%,59.35%
2019,"Missouri MoDOT & Patrol Employees’ Retirement System","Missouri",1.65%,57.94%,12.12%,47.47%,59.59%
2020,"Missouri MoDOT & Patrol Employees’ Retirement System","Missouri",1.80%,57.93%,12.10%,47.63%,59.73%
2021,"Missouri MoDOT & Patrol Employees’ Retirement System","Missouri",1.97%,57.93%,12.17%,47.74%,59.91%
2022,"Missouri MoDOT & Patrol Employees’ Retirement System","Missouri",3.44%,57.88%,14.99%,46.33%,61.33%
2023,"Missouri MoDOT & Patrol Employees’ Retirement System","Missouri",2.94%,59.80%,13.55%,49.19%,62.74%
2014,"Missouri Public Education Employee Retirement System","Missouri",7.38%,6.98%,11.07%,3.29%,14.36%
2015,"Missouri Public Education Employee Retirement System","Missouri",7.51%,7.05%,10.65%,3.91%,14.56%
2016,"Missouri Public Education Employee Retirement System","Missouri",7.52%,7.03%,10.62%,3.92%,14.55%
2017,"Missouri Public Education Employee Retirement System","Missouri",7.60%,7.14%,9.69%,5.05%,14.74%
2018,"Missouri Public Education Employee Retirement System","Missouri",7.42%,7.04%,9.84%,4.62%,14.46%
2019,"Missouri Public Education Employee Retirement System","Missouri",7.60%,7.21%,10.24%,4.57%,14.81%
2020,"Missouri Public Education Employee Retirement System","Missouri",7.58%,7.19%,10.03%,4.75%,14.77%
2021,"Missouri Public Education Employee Retirement System","Missouri",7.64%,7.21%,10.31%,4.54%,14.85%
2022,"Missouri Public Education Employee Retirement System","Missouri",7.73%,7.25%,9.72%,5.27%,14.98%
2023,"Missouri Public Education Employee Retirement System","Missouri",7.68%,7.24%,9.38%,5.54%,14.91%
2014,"Missouri Public School Retirement System","Missouri",15.35%,14.55%,19.20%,10.70%,29.90%
2015,"Missouri Public School Retirement System","Missouri",15.29%,14.57%,18.55%,11.31%,29.86%
2016,"Missouri Public School Retirement System","Missouri",15.47%,14.72%,18.49%,11.70%,30.19%
2017,"Missouri Public School Retirement System","Missouri",15.46%,14.71%,15.90%,14.27%,30.17%
2018,"Missouri Public School Retirement System","Missouri",15.27%,14.64%,16.65%,13.27%,29.92%
2019,"Missouri Public School Retirement System","Missouri",15.43%,14.71%,17.14%,13.00%,30.14%
2020,"Missouri Public School Retirement System","Missouri",15.41%,14.74%,17.18%,12.96%,30.14%
2021,"Missouri Public School Retirement System","Missouri",15.47%,14.79%,17.05%,13.21%,30.27%
2022,"Missouri Public School Retirement System","Missouri",15.71%,14.87%,16.72%,13.86%,30.58%
2023,"Missouri Public School Retirement System","Missouri",15.62%,14.88%,16.46%,14.04%,30.50%
2014,"Missouri State Employees' Retirement System","Missouri",0.74%,17.15%,8.31%,9.58%,17.89%
2015,"Missouri State Employees' Retirement System","Missouri",0.94%,17.19%,7.84%,10.29%,18.13%
2016,"Missouri State Employees' Retirement System","Missouri",1.13%,17.17%,7.76%,10.54%,18.30%
2017,"Missouri State Employees' Retirement System","Missouri",1.29%,16.97%,7.73%,10.52%,18.26%
2018,"Missouri State Employees' Retirement System","Missouri",1.45%,19.45%,8.06%,12.84%,20.90%
2019,"Missouri State Employees' Retirement System","Missouri",1.60%,20.21%,8.11%,13.70%,21.81%
2020,"Missouri State Employees' Retirement System","Missouri",1.75%,21.77%,7.95%,15.57%,23.52%
2021,"Missouri State Employees' Retirement System","Missouri",1.86%,22.88%,8.03%,16.70%,24.74%
2022,"Missouri State Employees' Retirement System","Missouri",1.99%,23.51%,8.29%,17.21%,25.50%
2023,"Missouri State Employees' Retirement System","Missouri",2.19%,48.86%,7.51%,43.54%,51.05%
2014,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana",8.23%,11.64%,12.27%,7.60%,19.87%
2015,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana",8.26%,11.66%,11.95%,7.97%,19.92%
2016,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana",8.21%,11.23%,11.19%,8.25%,19.44%
2017,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana",8.18%,10.74%,11.73%,7.19%,18.92%
2018,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana",8.30%,11.49%,10.78%,9.01%,19.79%
2019,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana",8.15%,11.38%,9.91%,9.62%,19.53%
2020,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana",8.20%,11.48%,9.61%,10.07%,19.68%
2021,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana",8.17%,11.50%,9.48%,10.18%,19.67%
2022,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana",8.19%,11.58%,10.57%,9.20%,19.77%
2023,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana",8.20%,11.57%,8.01%,11.75%,19.77%
2014,"Montana Teachers' Retirement System","Montana",9.39%,19.77%,10.26%,18.89%,29.15%
2015,"Montana Teachers' Retirement System","Montana",9.39%,17.00%,9.60%,16.79%,26.39%
2016,"Montana Teachers' Retirement System","Montana",9.14%,16.65%,9.24%,16.55%,25.79%
2017,"Montana Teachers' Retirement System","Montana",9.08%,16.66%,8.73%,17.00%,25.73%
2018,"Montana Teachers' Retirement System","Montana",9.11%,16.78%,9.16%,16.73%,25.89%
2019,"Montana Teachers' Retirement System","Montana",9.11%,16.65%,8.77%,16.99%,25.77%
2020,"Montana Teachers' Retirement System","Montana",9.11%,16.85%,8.67%,17.29%,25.95%
2021,"Montana Teachers' Retirement System","Montana",8.79%,16.28%,8.78%,16.29%,25.07%
2022,"Montana Teachers' Retirement System","Montana",8.92%,16.41%,10.01%,15.33%,25.33%
2023,"Montana Teachers' Retirement System","Montana",8.85%,16.46%,9.74%,15.56%,25.30%
2014,"Montgomery County (MD) Employees' Retirement System","Maryland",6.57%,35.92%,18.61%,23.87%,42.49%
2015,"Montgomery County (MD) Employees' Retirement System","Maryland",6.36%,36.13%,17.91%,24.59%,42.49%
2016,"Montgomery County (MD) Employees' Retirement System","Maryland",6.33%,31.52%,16.57%,21.28%,37.85%
2017,"Montgomery County (MD) Employees' Retirement System","Maryland",6.29%,21.47%,16.14%,11.63%,27.76%
2018,"Montgomery County (MD) Employees' Retirement System","Maryland",6.19%,19.91%,15.87%,10.23%,26.10%
2019,"Montgomery County (MD) Employees' Retirement System","Maryland",6.22%,18.17%,16.24%,8.15%,24.38%
2020,"Montgomery County (MD) Employees' Retirement System","Maryland",6.11%,17.31%,15.40%,8.03%,23.42%
2021,"Montgomery County (MD) Employees' Retirement System","Maryland",6.09%,13.97%,16.18%,3.88%,20.06%
2022,"Montgomery County (MD) Employees' Retirement System","Maryland",6.11%,13.34%,15.93%,3.52%,19.45%
2023,"Montgomery County (MD) Employees' Retirement System","Maryland",5.94%,9.30%,14.83%,0.41%,15.23%
2014,"Municipal Employees' Retirement System of Michigan","Michigan",5.87%,30.01%,12.82%,23.06%,35.88%
2015,"Municipal Employees' Retirement System of Michigan","Michigan",4.78%,35.13%,12.82%,27.09%,39.91%
2016,"Municipal Employees' Retirement System of Michigan","Michigan",4.64%,30.19%,12.82%,22.01%,34.83%
2017,"Municipal Employees' Retirement System of Michigan","Michigan",4.53%,31.30%,12.82%,23.01%,35.83%
2018,"Municipal Employees' Retirement System of Michigan","Michigan",4.34%,35.04%,12.82%,26.55%,39.38%
2019,"Municipal Employees' Retirement System of Michigan","Michigan",4.15%,29.90%,12.82%,21.23%,34.05%
2020,"Municipal Employees' Retirement System of Michigan","Michigan",4.15%,33.68%,12.82%,25.01%,37.83%
2021,"Municipal Employees' Retirement System of Michigan","Michigan",3.99%,40.74%,12.82%,31.91%,44.73%
2022,"Municipal Employees' Retirement System of Michigan","Michigan",3.89%,34.54%,12.82%,25.61%,38.43%
2014,"Nashville Davidson Metropolitan Employee Benefit System","Tennessee",0.01%,17.08%,9.20%,7.90%,17.10%
2015,"Nashville Davidson Metropolitan Employee Benefit System","Tennessee",0.01%,18.34%,9.15%,9.20%,18.35%
2016,"Nashville Davidson Metropolitan Employee Benefit System","Tennessee",0.01%,16.17%,9.19%,7.00%,16.19%
2017,"Nashville Davidson Metropolitan Employee Benefit System","Tennessee",0.01%,13.76%,9.18%,4.60%,13.78%
2018,"Nashville Davidson Metropolitan Employee Benefit System","Tennessee",0.01%,13.32%,8.90%,4.43%,13.33%
2019,"Nashville Davidson Metropolitan Employee Benefit System","Tennessee",0.01%,12.44%,8.95%,3.50%,12.45%
2020,"Nashville Davidson Metropolitan Employee Benefit System","Tennessee",0.00%,12.35%,8.73%,3.62%,12.35%
2021,"Nashville Davidson Metropolitan Employee Benefit System","Tennessee",0.01%,13.06%,9.34%,3.73%,13.07%
2022,"Nashville Davidson Metropolitan Employee Benefit System","Tennessee",0.01%,13.51%,10.18%,3.34%,13.51%
2023,"Nashville Davidson Metropolitan Employee Benefit System","Tennessee",0.00%,14.83%,10.18%,4.65%,14.83%
2014,"Nebraska County Employees Retirement System","Nebraska",5.00%,7.39%,9.85%,2.55%,12.39%
2017,"Nebraska County Employees Retirement System","Nebraska",4.46%,6.65%,9.56%,1.56%,11.11%
2018,"Nebraska County Employees Retirement System","Nebraska",4.63%,6.84%,9.99%,1.47%,11.47%
2019,"Nebraska County Employees Retirement System","Nebraska",4.65%,6.88%,9.64%,1.89%,11.53%
2020,"Nebraska County Employees Retirement System","Nebraska",4.64%,6.87%,9.38%,2.13%,11.50%
2021,"Nebraska County Employees Retirement System","Nebraska",4.56%,6.75%,9.14%,2.17%,11.31%
2022,"Nebraska County Employees Retirement System","Nebraska",4.57%,6.75%,10.86%,0.46%,11.32%
2023,"Nebraska County Employees Retirement System","Nebraska",4.63%,6.86%,10.48%,1.00%,11.48%
2014,"Nebraska Judges Retirement System","Nebraska",7.56%,19.43%,21.18%,5.81%,26.99%
2017,"Nebraska Judges Retirement System","Nebraska",7.45%,15.59%,21.29%,1.75%,23.04%
2018,"Nebraska Judges Retirement System","Nebraska",7.64%,16.22%,21.92%,1.94%,23.86%
2019,"Nebraska Judges Retirement System","Nebraska",7.85%,20.67%,24.17%,4.35%,28.52%
2020,"Nebraska Judges Retirement System","Nebraska",7.99%,18.90%,24.30%,2.60%,26.89%
2021,"Nebraska Judges Retirement System","Nebraska",8.05%,15.99%,22.78%,1.27%,24.05%
2022,"Nebraska Judges Retirement System","Nebraska",8.23%,19.24%,23.21%,4.26%,27.47%
2023,"Nebraska Judges Retirement System","Nebraska",8.42%,15.63%,24.78%,−0.73%,24.05%
2014,"Nebraska Public Employees Retirement System - School Employees Plan","Nebraska",9.53%,11.81%,11.82%,9.53%,21.35%
2015,"Nebraska Public Employees Retirement System - School Employees Plan","Nebraska",9.98%,12.33%,12.11%,10.20%,22.31%
2016,"Nebraska Public Employees Retirement System - School Employees Plan","Nebraska",9.88%,12.34%,12.04%,10.18%,22.22%
2017,"Nebraska Public Employees Retirement System - School Employees Plan","Nebraska",9.95%,12.33%,13.32%,8.96%,22.28%
2018,"Nebraska Public Employees Retirement System - School Employees Plan","Nebraska",9.92%,11.98%,13.28%,8.62%,21.90%
2019,"Nebraska Public Employees Retirement System - School Employees Plan","Nebraska",9.89%,11.97%,13.35%,8.51%,21.86%
2020,"Nebraska Public Employees Retirement System - School Employees Plan","Nebraska",9.92%,11.97%,13.30%,8.59%,21.89%
2021,"Nebraska Public Employees Retirement System - School Employees Plan","Nebraska",9.93%,11.97%,12.93%,8.97%,21.90%
2022,"Nebraska Public Employees Retirement System - School Employees Plan","Nebraska",9.88%,11.99%,12.93%,8.95%,21.88%
2014,"Nebraska State Employees Retirement System","Nebraska",4.97%,7.74%,10.26%,2.45%,12.71%
2016,"Nebraska State Employees Retirement System","Nebraska",4.78%,7.45%,9.86%,2.38%,12.24%
2017,"Nebraska State Employees Retirement System","Nebraska",4.77%,7.44%,10.24%,1.97%,12.22%
2018,"Nebraska State Employees Retirement System","Nebraska",4.86%,7.59%,10.70%,1.76%,12.45%
2019,"Nebraska State Employees Retirement System","Nebraska",4.90%,7.65%,10.03%,2.53%,12.56%
2020,"Nebraska State Employees Retirement System","Nebraska",4.74%,7.40%,9.37%,2.78%,12.15%
2021,"Nebraska State Employees Retirement System","Nebraska",4.68%,7.30%,9.46%,2.51%,11.97%
2022,"Nebraska State Employees Retirement System","Nebraska",4.74%,7.39%,10.91%,1.23%,12.14%
2023,"Nebraska State Employees Retirement System","Nebraska",4.80%,7.49%,10.19%,2.09%,12.28%
2014,"Nebraska State Patrol Retirement System","Nebraska",16.14%,34.16%,31.90%,18.39%,50.29%
2015,"Nebraska State Patrol Retirement System","Nebraska",15.90%,32.88%,28.76%,20.02%,48.78%
2016,"Nebraska State Patrol Retirement System","Nebraska",16.14%,26.08%,30.14%,12.08%,42.22%
2017,"Nebraska State Patrol Retirement System","Nebraska",16.02%,25.11%,28.32%,12.81%,41.13%
2018,"Nebraska State Patrol Retirement System","Nebraska",16.08%,31.20%,30.65%,16.63%,47.28%
2019,"Nebraska State Patrol Retirement System","Nebraska",16.07%,29.67%,30.99%,14.76%,45.74%
2020,"Nebraska State Patrol Retirement System","Nebraska",16.13%,29.48%,29.08%,16.53%,45.61%
2021,"Nebraska State Patrol Retirement System","Nebraska",16.21%,29.24%,29.27%,16.18%,45.45%
2022,"Nebraska State Patrol Retirement System","Nebraska",16.23%,28.12%,30.52%,13.83%,44.35%
2023,"Nebraska State Patrol Retirement System","Nebraska",16.31%,29.24%,31.96%,13.59%,45.56%
2014,"New Castle County Pension Program","Delaware",4.06%,19.53%,11.15%,12.45%,23.60%
2015,"New Castle County Pension Program","Delaware",4.46%,28.95%,12.42%,20.99%,33.41%
2016,"New Castle County Pension Program","Delaware",4.60%,27.60%,12.72%,19.49%,32.21%
2017,"New Castle County Pension Program","Delaware",4.34%,27.97%,12.48%,19.83%,32.31%
2018,"New Castle County Pension Program","Delaware",4.26%,35.95%,12.01%,28.20%,40.21%
2019,"New Castle County Pension Program","Delaware",4.21%,35.86%,12.75%,27.32%,40.07%
2020,"New Castle County Pension Program","Delaware",4.06%,42.00%,10.65%,35.40%,46.06%
2021,"New Castle County Pension Program","Delaware",4.22%,45.43%,11.53%,38.12%,49.65%
2022,"New Castle County Pension Program","Delaware",3.95%,45.20%,11.05%,38.09%,49.14%
2023,"New Castle County Pension Program","Delaware",3.91%,41.00%,11.12%,33.79%,44.91%
2014,"New Hampshire Retirement System","New Hampshire",7.94%,13.10%,9.80%,11.23%,21.03%
2015,"New Hampshire Retirement System","New Hampshire",7.92%,12.90%,9.47%,11.35%,20.83%
2016,"New Hampshire Retirement System","New Hampshire",7.99%,13.74%,10.24%,11.50%,21.74%
2017,"New Hampshire Retirement System","New Hampshire",7.99%,13.73%,9.85%,11.87%,21.72%
2018,"New Hampshire Retirement System","New Hampshire",7.91%,15.36%,9.80%,13.46%,23.26%
2019,"New Hampshire Retirement System","New Hampshire",7.93%,15.38%,9.75%,13.56%,23.31%
2020,"New Hampshire Retirement System","New Hampshire",7.94%,15.37%,10.73%,12.58%,23.31%
2021,"New Hampshire Retirement System","New Hampshire",7.97%,15.45%,10.74%,12.68%,23.42%
2022,"New Hampshire Retirement System","New Hampshire",7.93%,18.81%,10.45%,16.29%,26.74%
2023,"New Hampshire Retirement System","New Hampshire",8.01%,18.92%,10.46%,16.48%,26.94%
2015,"New Jersey Judicial Retirement System","New Jersey",9.56%,25.79%,46.50%,−11.15%,35.35%
2016,"New Jersey Judicial Retirement System","New Jersey",13.82%,22.05%,49.68%,−13.81%,35.87%
2017,"New Jersey Judicial Retirement System","New Jersey",15.20%,29.89%,54.69%,−9.60%,45.09%
2018,"New Jersey Judicial Retirement System","New Jersey",13.26%,34.71%,51.26%,−3.29%,47.97%
2019,"New Jersey Judicial Retirement System","New Jersey",12.46%,38.20%,48.33%,2.32%,50.65%
2020,"New Jersey Judicial Retirement System","New Jersey",12.06%,48.93%,56.84%,4.15%,60.99%
2021,"New Jersey Judicial Retirement System","New Jersey",12.25%,68.22%,66.71%,13.75%,80.47%
2022,"New Jersey Judicial Retirement System","New Jersey",12.58%,95.49%,32.93%,75.14%,108.06%
2023,"New Jersey Judicial Retirement System","New Jersey",12.72%,90.49%,32.77%,70.44%,103.21%
2014,"New Jersey Public Employees Retirement System","New Jersey",6.97%,8.02%,13.92%,1.08%,14.99%
2015,"New Jersey Public Employees Retirement System","New Jersey",7.04%,9.56%,13.32%,3.28%,16.60%
2016,"New Jersey Public Employees Retirement System","New Jersey",7.26%,11.28%,14.38%,4.15%,18.53%
2017,"New Jersey Public Employees Retirement System","New Jersey",7.51%,13.11%,16.51%,4.11%,20.62%
2018,"New Jersey Public Employees Retirement System","New Jersey",7.52%,14.87%,13.69%,8.70%,22.39%
2019,"New Jersey Public Employees Retirement System","New Jersey",7.95%,16.40%,11.63%,12.72%,24.35%
2020,"New Jersey Public Employees Retirement System","New Jersey",7.72%,17.98%,11.02%,14.67%,25.70%
2021,"New Jersey Public Employees Retirement System","New Jersey",7.60%,20.81%,9.48%,18.93%,28.42%
2022,"New Jersey Public Employees Retirement System","New Jersey",7.81%,26.47%,9.47%,24.81%,34.28%
2023,"New Jersey Public Employees Retirement System","New Jersey",7.85%,26.59%,9.94%,24.50%,34.44%
2014,"New Jersey State Police Retirement System","New Jersey",9.17%,13.90%,35.73%,−12.65%,23.08%
2015,"New Jersey State Police Retirement System","New Jersey",8.50%,14.68%,35.71%,−12.53%,23.18%
2016,"New Jersey State Police Retirement System","New Jersey",8.28%,13.59%,41.22%,−19.35%,21.87%
2017,"New Jersey State Police Retirement System","New Jersey",8.54%,19.08%,50.22%,−22.60%,27.62%
2018,"New Jersey State Police Retirement System","New Jersey",7.87%,26.20%,42.05%,−7.97%,34.08%
